n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
560000,9,8,8,8,9,8,8,8,8,8,9,9,8,10,9,8,9,8,8,8,9,8,8,8,9,9,9,9,9,8,9,8,8,8,8,10,9,8,10,8,8,8,8,10,8,9,9,10,8,9
570000,9,8,8,8,8,9,8,8,8,8,9,8,9,8,9,8,8,9,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,9,8,9,8,8,8,10,9,9,9,9,9,9,10,9,8
580000,8,9,8,8,8,8,9,8,8,8,9,8,8,10,9,8,9,9,10,8,9,9,8,8,8,10,9,9,9,8,9,9,8,9,8,10,8,10,9,8,9,8,9,9,9,9,9,8,9,8
590000,8,9,8,8,8,9,9,8,11,8,9,9,9,8,10,9,9,9,9,9,9,8,9,8,8,8,9,9,8,8,8,9,8,9,8,9,9,10,9,8,9,8,9,8,9,9,9,9,9,9
600000,9,7,9,10,8,9,8,8,9,10,9,9,9,8,9,9,9,9,9,9,8,9,8,9,9,8,9,8,8,8,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,8,9,9,9,8
610000,8,9,9,9,8,9,8,10,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,9,9,9,10,9,8,9,8,8,9,9,8,9,9,10,9,9,8,8,9,9,9,9,10,9,9
620000,8,9,8,9,8,8,8,9,10,9,8,8,8,8,9,9,8,9,8,9,9,9,9,9,8,9,10,9,9,9,8,9,8,10,8,8,8,8,9,9,9,8,8,8,8,8,9,9,8,8
630000,8,9,8,9,9,9,8,8,10,9,8,8,8,9,9,10,9,8,8,9,8,10,10,8,8,9,8,8,8,8,8,8,8,8,9,8,9,11,9,9,8,8,9,8,8,9,8,9,9,9
640000,8,9,8,8,8,9,8,8,8,8,8,9,8,9,9,8,8,9,8,8,8,9,9,8,9,8,9,9,9,8,8,8,8,9,9,8,8,8,9,8,8,9,8,9,9,9,9,8,8,8
650000,9,9,9,9,9,9,9,9,8,10,9,8,9,8,8,9,8,9,9,8,8,9,8,8,10,9,8,8,8,8,9,9,9,8,9,8,8,9,9,8,8,8,9,8,8,8,8,8,8,8
660000,10,10,10,8,9,10,9,9,9,8,9,9,9,8,9,9,9,9,9,8,9,8,8,8,8,9,9,9,9,8,8,9,9,8,8,9,9,8,9,8,8,9,9,9,9,9,8,9,8,8
670000,9,9,9,8,9,11,8,9,9,8,9,9,8,9,8,8,8,8,9,9,8,8,8,8,8,9,9,9,9,9,9,10,8,8,9,9,9,9,9,9,9,9,9,10,8,8,8,9,9,9
680000,8,10,9,10,8,8,9,9,8,8,10,8,8,9,8,9,9,9,9,9,9,9,9,9,10,9,10,8,9,9,9,8,9,11,9,8,8,8,9,9,8,8,9,8,8,9,9,9,10,9
690000,9,9,9,8,8,8,8,8,9,9,8,8,8,9,8,8,8,8,9,8,9,8,8,9,9,8,9,8,8,9,9,9,9,8,9,8,8,9,8,11,9,10,9,8,8,8,10,9,9,9
700000,8,10,8,8,9,9,8,9,10,9,8,8,9,9,8,8,8,9,8,9,9,8,8,9,9,8,9,8,8,9,8,8,8,8,9,9,8,9,8,9,9,9,9,9,9,9,8,8,9,10
710000,8,8,8,8,10,8,9,8,10,8,8,8,8,8,9,10,9,8,9,8,11,8,8,9,9,9,9,9,8,8,10,9,8,8,8,8,8,9,9,9,8,8,8,9,9,9,9,9,9,9
720000,8,8,8,8,8,9,8,9,9,8,10,9,8,9,9,9,8,9,8,8,8,8,9,9,8,8,9,8,10,8,8,9,8,9,9,9,8,8,9,10,9,8,8,9,9,9,8,9,9,8
730000,10,10,9,9,9,9,9,8,9,8,9,9,10,9,8,9,8,9,10,8,8,9,9,9,9,8,10,8,9,9,9,8,8,8,9,10,8,9,9,9,9,8,11,8,8,8,8,8,9,9
740000,9,8,8,8,9,9,9,9,9,10,8,8,8,8,8,8,8,8,9,9,8,9,8,8,8,9,9,8,8,8,8,9,9,9,8,8,8,9,9,9,10,8,9,9,9,9,8,9,8,10
750000,8,8,8,9,8,8,8,9,9,9,9,8,9,8,8,8,9,9,8,9,9,8,8,8,9,8,9,8,8,9,9,9,8,8,10,8,9,10,9,9,8,9,9,9,9,10,9,9,8,10
760000,8,9,9,9,9,8,10,9,8,9,9,9,8,8,8,9,9,9,8,9,9,9,9,9,8,9,9,10,8,9,10,8,9,8,8,8,9,9,9,9,9,8,8,8,10,9,8,9,8,8
770000,8,9,8,8,10,10,9,9,9,9,10,8,8,9,9,9,9,8,8,8,8,9,10,9,8,9,9,8,9,9,8,10,9,8,10,8,8,9,9,9,8,9,8,9,9,8,9,8,9,9
780000,8,9,8,8,8,8,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,10,8,8,8,8,8,8,8,8,8,8,9,8,8,8,10,8,9,9,8,9,9,9,9,8,9,8
